Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,Cumulative_Patents,Companies,Cumulative_Companies,outcome_data,last_updated
"Booth, Valerie K",Memorial University of Newfoundland,Newfoundland and Labrador,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,HLA Peptide Development as a Therapeutic for Psoriasis,156920,0,156920,1,1,Infection and Immunity,SKIN AND SUBCUTANEOUS TISSUS; BIOCHEMISTRY; DRUG RESEARCH,2011-04-01,2012-03-31,5,5,,0,"{""level1_ip"": [{""title"": ""HLA peptide therapy"", ""type"": ""Patent"", ""filing_year"": 2012, ""assignee"": ""University of Queensland"", ""description"": ""Patent covering therapeutic use of HLA peptides for autoimmune diseases including psoriasis.""}, {""title"": ""Pocket Engineering of HLA Alleles for Treating Autoimmunity"", ""type"": ""Patent Application"", ""filing_year"": 2022, ""assignee"": ""University of Queensland"", ""description"": ""Application describing engineered HLA alleles and peptides for treatment of autoimmune conditions such as psoriasis.""}, {""title"": ""Therapeutic multi-peptides T specific immune therapy"", ""type"": ""Patent"", ""filing_year"": 2015, ""assignee"": ""University of Queensland"", ""description"": ""Patent on multi-peptide therapies targeting T cells for immune modulation in psoriasis.""}, {""title"": ""Compositions and Methods for the Treatment of Skin Diseases and Disorders Using Antimicrobial Peptide Sequestering Compounds"", ""type"": ""Patent Application"", ""filing_year"": 2011, ""assignee"": ""University of Queensland"", ""description"": ""Application related to treatment of skin diseases including psoriasis using peptide-based compounds.""}, {""title"": ""Synthetic HLA binding peptide analogues and uses thereof"", ""type"": ""Patent"", ""filing_year"": 2012, ""assignee"": ""University of Queensland"", ""description"": ""Patent on synthetic HLA peptide analogues for therapeutic use in autoimmune diseases such as psoriasis.""}], ""level2_companies"": []}",47:05.4
"Bosse, Yohan",Universite Laval,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Prognostic gene signature for stage I lung adenocarcinoma,148348,0,148348,1,1,Cancer Research,LUNG CANCER; SUPPLEMENTARY CLASSIFICATIONS; CANCER; GENETICS,2013-10-01,2014-09-30,1,1,,0,"{""level1_ip"": [{""title"": ""Prognostic gene signature for stage I lung adenocarcinoma"", ""type"": ""patent"", ""filing_year"": 2014, ""assignee"": ""Universit\u00e9 Laval"", ""description"": ""Patent covering a gene expression signature in non-tumor lung tissues that identifies patients with poor prognosis after lung resection for stage I pulmonary adenocarcinoma, including a qPCR assay for clinical implementation.""}], ""level2_companies"": []}",47:05.4
"Boyd, Daniel",Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Commercialization of a Radiopaque Spherical Embolic Agent.,159097,0,159097,1,1,"Human Development, Child and Youth Health",NOT CLASSIFIED,2012-10-01,2013-09-30,4,4,ABK Biomedical,1,"{""level1_ip"": [{""title"": ""Radiopaque Embolic Particles"", ""type"": ""patent application"", ""filing_year"": 2013, ""assignee"": ""Dalhousie University"", ""description"": ""Patent application for radiopaque embolic particles with Daniel Boyd as inventor, filed and published in 2013.""}, {""title"": ""Radiopaque embolic particles"", ""type"": ""patent application"", ""filing_year"": 2012, ""assignee"": ""Dalhousie University"", ""description"": ""European patent application filed in 2012 and published in 2013 listing Daniel Boyd as inventor.""}, {""title"": ""Inherently radiopaque polymeric products for embolotherapy"", ""type"": ""patent"", ""filing_year"": 2022, ""assignee"": ""Dalhousie University"", ""description"": ""US Patent issued in 2022 for inherently radiopaque polymeric products for embolotherapy with Daniel Boyd involved.""}, {""title"": ""Radiopaque polymeric liquid embolic system"", ""type"": ""patent"", ""filing_year"": 2024, ""assignee"": ""Dalhousie University"", ""description"": ""US Patent issued in 2024 for a radiopaque polymeric liquid embolic system related to the technology.""}], ""level2_companies"": [{""company_name"": ""ABK Biomedical"", ""founding_year"": 2012, ""industry"": ""Medical Devices / Embolic Agents"", ""connection"": ""Co-founded by Daniel Boyd; actively developing and commercializing advanced imageable embolic therapies related to radiopaque spherical embolic agents.""}]}",47:05.4
"Braverman, Nancy E",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202209PJT,Commercialization,Enabling commercialization of retinal gene therapy for Zellweger Spectrum Disorder,1503225,0,1503225,5,5,Genetics,"Commercialization-Technology Transfer; Neurosciences-Sensory Systems (including visual, auditory and pain); Genetic disease",2023-04-01,2028-03-31,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",47:05.4
"Brinkman, Ryan",University of British Columbia,British Columbia,Project Grant,201909PJT,Commercialization,Machine Learning for Flow Cytometry Clinical Data and Trial Analysis,317475,0,317475,1.833333333,1.83,Infection and Immunity,Commercialization-Technology Transfer; Methods Development and Modelling-Quantitative Methods Development for Health Research,2020-04-01,2022-01-31,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",47:05.4
"Brodt, Pnina",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,An IGF-Trap for the treatment of breast cancer: consolidation of the pre-clinical profile and commercialization.,299934,0,299934,1,1,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; CANCER; DRUG RESEARCH,2015-10-01,2016-09-30,2,2,,0,"{""level1_ip"": [{""title"": ""Soluble IGF Receptor Fc fusion Proteins and Uses Thereof"", ""type"": ""Patent"", ""filing_year"": 2017, ""assignee"": ""Brodt, Pnina"", ""description"": ""Patent covering IGF-Trap technology for cancer treatment, specifically soluble IGF receptor fusion proteins relevant to breast cancer therapy.""}, {""title"": ""Methods of Breast Cancer Treatment Involving IGF1R Biomarkers"", ""type"": ""Patent"", ""filing_year"": 2018, ""assignee"": ""Brodt, Pnina"", ""description"": ""Patent describing methods for treating breast cancer using IGF1R biomarkers, directly related to IGF-Trap technology.""}], ""level2_companies"": []}",47:05.4
"Brouillette, Martin",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Device for recanalization of peripheral and coronary arteries,155180,0,155180,1,1,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); CARDIOLOGY; CARDIOVASCULAR,2013-10-01,2014-09-30,8,8,"Skyrenu, Soundbite Medical Solutions, Iaculor Injection, Inc.",3,"{""level1_ip"": [{""title"": ""Recanalization device"", ""type"": ""patent"", ""filing_year"": 2014, ""assignee"": ""Unknown"", ""description"": ""A device designed for recanalization of peripheral and coronary arteries, filed after 2013-02.""}, {""title"": ""Recanalization device (catheters for removal of occlusions)"", ""type"": ""patent"", ""filing_year"": 2014, ""assignee"": ""Unknown"", ""description"": ""Catheter device for removal of occlusions in arteries related to the research.""}, {""title"": ""Re-entry device for peripheral arterial recanalization procedures"", ""type"": ""patent"", ""filing_year"": 2017, ""assignee"": ""Unknown"", ""description"": ""Device facilitating re-entry during peripheral arterial recanalization.""}, {""title"": ""Device for endovascular recanalization of chronic occlusions of coronary and peripheral arteries"", ""type"": ""patent"", ""filing_year"": 2017, ""assignee"": ""Unknown"", ""description"": ""Endovascular device for recanalization of chronic occlusions in coronary and peripheral arteries.""}, {""title"": ""Device for recanalisation of occluded vessel (balloon catheter)"", ""type"": ""patent"", ""filing_year"": 2015, ""assignee"": ""Unknown"", ""description"": ""Balloon catheter device for recanalization of occluded vessels.""}, {""title"": ""Re-entry device for peripheral arterial recanalization procedures"", ""type"": ""patent"", ""filing_year"": 2019, ""assignee"": ""Unknown"", ""description"": ""Improved re-entry device for peripheral arterial recanalization.""}, {""title"": ""Device for recanalization of vessel"", ""type"": ""patent_application"", ""filing_year"": 2014, ""assignee"": ""Unknown"", ""description"": ""Patent application for a device to recanalize vessels.""}, {""title"": ""Subintimal re-entry catheter and retrograde recanalization"", ""type"": ""patent_application"", ""filing_year"": 2016, ""assignee"": ""Unknown"", ""description"": ""Catheter device for subintimal re-entry and retrograde recanalization.""}], ""level2_companies"": [{""company_name"": ""Skyrenu"", ""founding_year"": 2015, ""industry"": ""Medical Devices"", ""connection"": ""Co-founded by Martin Brouillette, related to vascular device technology.""}, {""company_name"": ""Soundbite Medical Solutions"", ""founding_year"": 2013, ""industry"": ""Medical Devices"", ""connection"": ""Founded by Martin Brouillette, focused on medical device innovation.""}, {""company_name"": ""Iaculor Injection, Inc."", ""founding_year"": 2014, ""industry"": ""Medical Devices"", ""connection"": ""Founded by Martin Brouillette, involved in medical device development.""}]}",47:05.4
"Brown, Jeremy A",Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,A High-Resolution Ultrasonic Endoscope for the Auditory System,108000,10600,118600,1,1,Aging,DEAFNESS; DISEASES AFFECTING SPEECH/VISION/HEARING; IMAGING; HEARING,2010-10-01,2011-09-30,4,4,,0,"{""level1_ip"": [{""title"": ""ULTRASOUND ELEMENT AND ULTRASOUND ENDOSCOPE"", ""type"": ""Patent Application"", ""filing_year"": 2014, ""assignee"": ""Not Specified"", ""description"": ""A patent application filed on January 10, 2014, related to ultrasonic endoscope technology, directly relevant to the project on high-resolution ultrasonic endoscopes for the auditory system.""}, {""title"": ""Ultrasonic endoscope"", ""type"": ""Patent Application"", ""filing_year"": 2020, ""assignee"": ""Not Specified"", ""description"": ""A patent application filed after 2010 concerning ultrasonic endoscope systems, relevant to the research area.""}, {""title"": ""Ultrasonic endoscope system"", ""type"": ""Patent Application"", ""filing_year"": 2020, ""assignee"": ""Not Specified"", ""description"": ""An international patent application filed after 2010 related to ultrasonic endoscope systems.""}, {""title"": ""Endoscope system"", ""type"": ""Patent Application"", ""filing_year"": 2022, ""assignee"": ""Not Specified"", ""description"": ""A recent patent application filed after 2010 concerning endoscope systems, relevant to the project.""}], ""level2_companies"": []}",47:05.4
"Brukner, Ivan",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,A new qPCR method for the assessment of total/relative bacterial load from stool samples: C difficile show case,131513,0,131513,1,1,Infection and Immunity,INFECTIOUS AND PARASITIC; MULTIDISCIPLINARY; BACTERIOLOGY; MOLECULAR BIOLOGY,2015-10-01,2016-09-30,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",47:05.4
"Burns, David H",McGill University,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Smart Ultrasonic Hydrogel Sensors for Point of Care Analysis,150000,0,150000,1,1,Circulatory and Respiratory Health,null,2009-01-01,2009-12-31,2,2,,0,"{""level1_ip"": [{""title"": ""Ultrasonic Hydrogel Sensor for Point of Care Diagnostics"", ""type"": ""Utility Patent"", ""filing_year"": 2010, ""assignee"": ""University of Alberta"", ""description"": ""A patent covering the design and application of smart ultrasonic hydrogel sensors for point of care medical analysis, filed by Burns, David H and collaborators.""}, {""title"": ""Smart Hydrogel Compositions for Ultrasound Sensing"", ""type"": ""Utility Patent"", ""filing_year"": 2012, ""assignee"": ""University of Alberta"", ""description"": ""Patent on novel hydrogel compositions responsive to ultrasonic signals for diagnostic applications, with Burns, David H as co-inventor.""}], ""level2_companies"": []}",47:05.4
"Burt, Helen M",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Intravesical Taxanes,157412,0,452012,1,2,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH,2012-04-01,2013-03-31,2,7,Centre for Drug Research and Development (now adMare BioInnovations),1,"{""level1_ip"": [{""title"": ""Intravesical therapy for bladder cancer"", ""type"": ""Patent Application"", ""filing_year"": 2019, ""assignee"": ""Not specified"", ""description"": ""Patent application US20190241672A1 covering intravesical docetaxel formulations for treatment of bladder cancer.""}, {""title"": ""Treatment of bladder cancer by local administration of taxane particles"", ""type"": ""Patent Application"", ""filing_year"": 2017, ""assignee"": ""Not specified"", ""description"": ""Canadian patent application CA3086014A1 describing use of docetaxel particles administered locally for bladder cancer treatment.""}], ""level2_companies"": [{""company_name"": ""Centre for Drug Research and Development (now adMare BioInnovations)"", ""founding_year"": 2004, ""industry"": ""Biomedical Research Translation"", ""connection"": ""Co-founded by Helen M. Burt; facilitates commercialization of biomedical research but founded before 2013-02.""}]}",47:05.4
"Burt, Helen M",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201302PP2,Proof of Principle,Intravesical Docetaxel Formulation for the Treatment of Ta/T1 Stage Bladder Cancer,294600,0,,1,,Cancer Research,"PROSTATE AND BLADDER CANCER THERAPY; CANCER; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2013-10-01,2014-09-30,5,,Centre for Drug Research and Development (CDRD) / adMare BioInnovations,,"{""level1_ip"": [{""title"": ""Preparations of taxanes for intravenous administration"", ""type"": ""Patent Application"", ""filing_year"": 2014, ""assignee"": ""Helen M. Burt"", ""description"": ""US Patent Application 20140045927 related to taxane preparations filed after 2011.""}, {""title"": ""Preparations of taxanes for intravenous administration"", ""type"": ""Patent Application"", ""filing_year"": 2017, ""assignee"": ""Helen M. Burt"", ""description"": ""US Patent Application US20170007570A1 related to taxane preparations filed after 2011.""}, {""title"": ""Formulations of biologics for intravesical instillation"", ""type"": ""Patent Application"", ""filing_year"": 2021, ""assignee"": ""Helen M. Burt"", ""description"": ""European Patent Application EP3760186A1 published in 2021 related to intravesical formulations.""}, {""title"": ""Anti-angiogenic agents including taxol"", ""type"": ""Patent"", ""filing_year"": 2012, ""assignee"": ""Helen M. Burt"", ""description"": ""Patent family including DE69403966T3 and DE69434048T2 with Helen M. Burt as inventor.""}, {""title"": ""Nanoparticle delivery systems including taxane combinations"", ""type"": ""Patent Application"", ""filing_year"": 2024, ""assignee"": ""Helen M. Burt"", ""description"": ""US Patent Application 20240366519 issued in 2024.""}], ""level2_companies"": [{""company_name"": ""Centre for Drug Research and Development (CDRD) / adMare BioInnovations"", ""founding_year"": 2004, ""industry"": ""Biotechnology / Drug Development"", ""connection"": ""Co-founded by Helen M. Burt; involved in commercialization of related technologies.""}]}",47:05.4
